questions,answers
what language do they speak in indonesia?,"Javanese Language, Malay Language, Sunda Language, English Language, Bali Language, Indonesian Language, Batak Language, Tobelo Language, Dutch Language, Madura Language"
what are some of the awards taylor swift has won?,"People's Choice Award for Favorite Country Artist, Academy of Country Music Entertainer of the Year, People's Choice Award for Favorite Female Music Performer, Academy of Country Music Video of the Year, Grammy Award for Best Country Solo Performance, Billboard Artist of the Year Award, Academy of Country Music Album of the Year, Grammy Award for Best Country Song, Grammy Award for Album of the Year"
what city did obama grow up in?,Honolulu
where did chris cuomo go?,Queens
what is there to do in palm springs?,"The Fabulous Palm Springs Follies, Palm Springs Air Museum, Living Desert Zoo and Gardens, Palm Springs Walk of Stars, The Palm Springs Art Museum, Knott's Soak City, Tahquitz Canyon, Palm Springs Aerial Tramway, Moorten Botanical Garden and Cactarium, San Jacinto Mountains"
where is auburn university at?,"Alabama, Auburn University Historic District, United States of America, Auburn"
where was ronald reagan born and raised?,Tampico
what county is morristown tn in?,Morris County
who was the president of the united states during ww2?,Franklin D. Roosevelt
who did elvis presley really love?,Ginger Alden
which states does the connecticut river flow through?,"Vermont, Connecticut, New Hampshire, Massachusetts"
what are the biggest cities in illinois?,Chicago
which province in canada is the most populated?,Ontario
what continent do the falkland islands belong to?,South America
what language do russian people speak?,"Yiddish Language, Chuvash Language, Russian Language, Tatar Language, Ukrainian Language"
which states touch canadian soil?,Michigan
who has tim howard played for?,"Manchester United F.C., New York Red Bulls, North Jersey Imperials, Everton F.C., United States men's national soccer team"
when is the gold cup cheltenham?,Yearly
where does portuguese originate?,Portugal
who did howie long married?,Diane Addonizio
what region of the world is north america in?,"Northern Hemisphere, Western Hemisphere, Americas"
who is the current governor of georgia 2011?,Nathan Deal
where do navajo indians live?,"Arizona, Utah, Southwestern United States, Navajo Nation, California, New Mexico"
what instrument does ringo starr play?,Drums
who are china's trading partners?,"Angola, Sudan, United States of America, Wellington, Mozambique, Laos, Yemen"
what character did stan lee create?,"Executioner, Awesome Android, Mac Gargan, Professor X, Sentry, Death-Stalker, Wong, Blob, Shellshock, Plantman"
what disease did anne frank get?,Typhus
who did mario lopez just marry?,Courtney Laine Mazza
what happened to president james garfield?,"Myocardial infarction, Pneumonia, Sepsis"
what time zone am i in missouri?,"Central Time Zone, UTC−06:00"
who is paul mccartney's current wife?,Nancy Shevell
who did warren moon play for?,"Seattle Seahawks, Washington Huskies football, Houston Oilers, Minnesota Vikings, Kansas City Chiefs"
what brand of guitar does steve vai play?,"Ibanez, Ibanez Universe, Ibanez JEM"
what do hungarian people speak?,Hungarian
in what town did ned kelly and his family grow up?,Beveridge
what is bethenny frankel husband name?,Jason Hoppy
what city in australia should i live in quiz?,Australian city
who is the present president of china?,Xi Jinping
who influenced arthur conan doyle?,"Robert Louis Stevenson, Edgar Allan Poe, Joseph Bell, Jules Verne, Walter Scott, Ibn-e-Safi"
when was samuel pepys?,United Kingdom
what are the new york giants home colors?,Blue
who played bob ewell in to kill a mockingbird?,James Anderson
what instrument does fela kuti play?,"guitar, trumpet, Saxophone, Drums, keyboard"
who is kurt busch driving for now?,Miller Lite
who was charlemagne's wife?,"Fastrada, Luitgard, Hildegard of Savoy, Desiderata of the Lombards, Himiltrude"
where did woodrow wilson go to school?,"Johns Hopkins University, Davidson College, Princeton University, University of Virginia School of Law"
who is angelina jolie's husband?,Brad Pitt
what kind of money do they use in aruba?,Aruban florin
what sports do people in france play?,"France national football team, France Davis Cup team, France men's national ice hockey team, France women's national U-18 ice hockey team, France men's national volleyball team, France women's national volleyball team, France national rugby league team, France women's national basketball team, French Luge Team, A1 Team France"
what language do native american indians speak?,"French Language, Spanish Language, English Language, American English"
where did tennessee williams live?,"St. Louis, Columbus, New Orleans, Clarksdale, Mississippi"
what was king louis xiv religion?,Catholicism
what language do they in belgium?,"French Language, German Language, Dutch Language"
where is port st lucie florida on the map?,"Florida, United States of America, St. Lucie County"
what countries are the mediterranean?,"Italy, Spain, France"
what city has the largest population in mexico?,Mexico City
who juan ponce de leon?,Explorer
what state is toronto in?,Ontario
where to watch tv online for free in canada?,Province of Canada
where did the loma prieta earthquake occur?,San Francisco Bay Area
what is the state motto of massachusetts?,Ense petit placidam sub libertate quietem
where did helen keller die?,Easton
who is the current president of chile 2011?,Sebastián Piñera
what would happen if the new madrid fault had an earthquake?,Winter in Madrid
what did jeff corwin major in?,Biologist
where did johann sebastian bach live?,"Arnstadt, Köthen (Anhalt), Leipzig, Weimar, Mühlhausen, Eisenach, Lüneburg, Ohrdruf"
who did bynum get traded to?,"West Windsor-Plainsboro High School North, St. Joseph High School, Solebury School"
what timezone is malaysia?,UTC+8
where was alice walker born?,Eatonton
what do they speak iceland?,Icelandic Language
who taught michelangelo to sculpt?,"Lorenzo de' Medici, Domenico Ghirlandaio, Giovanni Pico della Mirandola, Girolamo Savonarola, Melozzo da Forlì"
what wars have france been involved in?,Hundred Years' War
when did joe mcelderry won x factor?,The X Factor (UK) - Season 6
what is the major language of jamaica?,Jamaican English
who was the members of blackstreet?,"Tony Tyler, Levi Little, Terrell Phillips, Eric Williams, Edward Theodore Riley, Mark Middleton, Glenn Adams, Joseph Stonestreet, Chauncey Black, Dave Hollister"
who did tebow get traded to?,New York Jets
who created the character of sherlock holmes?,Arthur Conan Doyle
what does scottish people speak?,English Language
who all has kim kardashian dated?,"Kanye West, Reggie Bush, Ray J"
what instruments did vivaldi wrote concertos for?,Violin
what book did john steinbeck wrote about the people in the dust bowl?,The Grapes of Wrath
what land did god promise joshua?,Canaan
who is the voice of family guys meg griffin?,Mila Kunis
what countries did queen elizabeth i rule?,England
what channel is the mtv vma awards on?,MTV
what kind of currency does jamaica use?,Jamaican dollar
what type of government does the nigeria have?,"Presidential system, Federal republic, Federation"
what country was william shakespeare born?,United Kingdom
where do they grow rice in italy?,Lombardy
where great britain on the world map?,Europe
what to see in dallas tx?,"Meadows Museum, Texas Theatre, Dallas Convention Center, Dallas Zoo, Dallas Holocaust Museum/Center for Education & Tolerance, George W. Bush Presidential Center, Sixth Floor Museum, The Trammell & Margaret Crow Collection of Asian Art, Dallas World Aquarium, Dallas Arboretum and Botanical Garden"
who did cristina yang's husband cheated on her with?,Preston Burke
who does jemaine clement play in despicable me?,Jerry the Minion
what year did the vietnam war happen?,1960s
who inspired antonio vivaldi?,Johann Sebastian Bach
what type of currency is used in puerto rico?,United States dollar
what is jackie kennedy famous for?,First Lady of the United States
what currency is used in france before euro?,"French franc, Assignat"
what major landforms are located in egypt?,"Sahara, Libyan Desert"
who played nba finals 2010?,Los Angeles Lakers
what does the devil look like in young goodman brown?,The Old Man
what state was ronald reagan governor of?,California
where was my honda motorcycle made?,Tokyo
what did isaac newton discovered as a mathematician?,isaac newton co-developed calculus with gottfried wilhelm leibniz
what is st james palace?,Palace
what airport to fly into to get to clearwater florida?,Clearwater Air Park
what currency do they use in qatar?,Qatari riyal
what are fun things to do in denver colorado?,"Black American West Museum & Heritage Center, Denver Firefighters Museum, Colorado State Capitol, Denver Mint, Molly Brown House, Forney Transportation Museum, Denver Botanic Gardens, Museum of Contemporary Art Denver, Denver Museum of Nature and Science, Chamberlin Observatory"
what did thoreau die from?,Tuberculosis
what do the symbols in the illinois flag represent?,"State Sovereignty, National Union"
what years did the red sox win the world series?,"1918 World Series, 2007 World Series, 2004 World Series, 1903 World Series, 1912 World Series, 1916 World Series, 1915 World Series"
what war was woodrow wilson president for?,World War I
who is carl edwards racing for?,Roush Fenway Racing
where are the florida marlins from?,"Sun Life Stadium, Marlins Park"
what is the main religion in eastern europe?,Zift
what language does romanian people speak?,"Hungarian language, Torlakian, Romanian Language, Romani language, Ukrainian Language"
what date was john adams elected president?,"John Adams Presidential Campaign, 1796"
what contribution did maurice wilkins make to dna?,Albert Lasker Award for Basic Medical Research
what did george w bush do before becoming president?,Governor of Texas
which party was lincoln?,"Illinois Republican Party, Republican Party, National Union Party, Whig Party"
who are the two current illinois senators?,Dick Durbin
what were adolf hitler's parents names?,"Alois Hitler, Klara Hitler"
what did jordyn wieber win gold for?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around
what job does bill rancic have?,"Entrepreneur, Businessperson, Writer, Television Producer, Author"
what does michael jackson like to eat?,Vegetarian food
who owns the new england patriots football team?,Robert Kraft
where do the japanese live?,Japan
what is the dollar called in brazil?,Brazilian real
what has lucy hale played in?,"A Cinderella Story: Once Upon A Song, 10 Years, Sorority Wars, The Sisterhood of the Traveling Pants 2, Scream 4, Fear Island, Tinker Bell: Secret of the Wings, Killer in the Family"
